Unnamed: 0,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,ratings
102,Chinatown,40.71561842231432,-73.99427936255978,Gotham Archery,5af88a7c5a2c91002cf5554c,40.71749853701644,-73.99143013505147,Sports Club,7.9
103,Chinatown,40.71561842231432,-73.99427936255978,Reception Bar,5b35982a47f876003901d2e8,40.7163598,-73.9913564,Cocktail Bar,8.6
104,Chinatown,40.71561842231432,-73.99427936255978,Vanessa's Dumpling House,49eeaf08f964a52078681fe3,40.718316255518644,-73.991884980019,Dumpling Restaurant,7.7
105,Chinatown,40.71561842231432,-73.99427936255978,Pho Vietnam,53aee20d498e6744c341c483,40.717530440312295,-73.99412803138348,Vietnamese Restaurant,9.0
106,Chinatown,40.71561842231432,-73.99427936255978,Cafe Katja,49c3a162f964a52067561fe3,40.71772249773717,-73.9904973426323,Austrian Restaurant,8.8
107,Chinatown,40.71561842231432,-73.99427936255978,Shu Jiao Fu Zhou Cuisine 潭頭王福州小吃 (Shu Jiao Fu Zhou Cuisine),4b391426f964a520ae5525e3,40.718432,-73.991701,Dumpling Restaurant,8.3
108,Chinatown,40.71561842231432,-73.99427936255978,Shanghai Café Deluxe,46936ee3f964a520d0481fe3,40.717334120160594,-73.9974851229737,Chinese Restaurant,9.1
109,Chinatown,40.71561842231432,-73.99427936255978,H Optics,4bbbbbf8e4529521741a55a4,40.7177568898041,-73.99044147871669,Optical Shop,9.3
110,Chinatown,40.71561842231432,-73.99427936255978,MooShoes NYC,4af74e12f964a520330822e3,40.717860843840974,-73.99037749508855,Shoe Store,8.3
111,Chinatown,40.71561842231432,-73.99427936255978,Big Wong King 大旺,3fd66200f964a520ede41ee3,40.71619620821637,-73.99830311536789,Chinese Restaurant,8.0
112,Chinatown,40.71561842231432,-73.99427936255978,Clandestino,43e51ac7f964a520f12e1fe3,40.71463948084424,-73.99101333557718,Bar,8.7
113,Chinatown,40.71561842231432,-73.99427936255978,Eye Solutions,4bb79dbb1261d13ad893e798,40.7149274142558,-73.99877357992021,Optical Shop,8.8
114,Chinatown,40.71561842231432,-73.99427936255978,Las’ Lap,5aff741595d986002c288ea1,40.717690463104404,-73.99043516357852,Bar,8.3
115,Chinatown,40.71561842231432,-73.99427936255978,Zest Ramen,5a506d2318d43b4d678a46ff,40.718144622768186,-73.99197844783383,Ramen Restaurant,8.9
116,Chinatown,40.71561842231432,-73.99427936255978,La Bella Ferrara,3fd66200f964a520bce61ee3,40.71744962394581,-73.99837323694786,Bakery,8.4
117,Chinatown,40.71561842231432,-73.99427936255978,Nom Wah Tea Parlor,49f220a3f964a520ee691fe3,40.714512,-73.998235,Dim Sum Restaurant,8.6
118,Chinatown,40.71561842231432,-73.99427936255978,Bibble & Sip,5ca79ef7c0af570039248a87,40.7180245169494,-73.99756154835737,Dessert Shop,9.0
119,Chinatown,40.71561842231432,-73.99427936255978,Orchard Grocer,589bb0fddfa6ff5e1dc8649f,40.71784735323789,-73.99035763050084,Vegetarian / Vegan Restaurant,8.7
120,Chinatown,40.71561842231432,-73.99427936255978,The Great Frog,4ee2ab396c25be962ead2329,40.717598653646384,-73.99045659548838,Jewelry Store,8.7
121,Chinatown,40.71561842231432,-73.99427936255978,Wu's Wonton King,56a96c6f498e5f93f0a505fd,40.71399163703321,-73.99016885345091,Cantonese Restaurant,8.2
122,Chinatown,40.71561842231432,-73.99427936255978,Taiwan Pork Chop House 臺灣武昌好味道,49f61fe9f964a520046c1fe3,40.71436751328666,-73.99786861896594,Taiwanese Restaurant,8.1
123,Chinatown,40.71561842231432,-73.99427936255978,Mango Mango Dessert - Bayard St.,51bbe134498e54bba6bfa151,40.71551587230272,-73.99802376966319,Dessert Shop,7.8
